NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,433.985
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,435.817
b38a03232f43b11c9d0788abaf060f7366053b6d,573.324
715494628a50142ce8cb17191cfe6d0f3cae0934,517.126
e656d6bad65c93fb2880f1eba5037008c8e75774,459.099
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,546.308
11539e86171bf07d3a36f09377d7f54ebcc8406a,435.266
043c544a2104aa8a9849f1a703a08d37a2f16839,439.257
76ba050e64ad100b856f0eaabd8f539d5c7dd185,442.31
940aede382ccb332fab15d413217695ec44ca765,444.967
9ad714b116da76d878dd399d187fccc2dd13dd63,565.106
dd34464a4d780b12a089347ad580418ac57a3055,509.883
f837a4cb05a5fd59d20138182f5e8c721eadd584,439.017
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,433.25
3d203727f27abd83b71732d88d8cb1cc099f363b,436.5
cbc301183dec912f3513ca766bf03dd565f3a38f,441.788
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,577.145
11282da1ee78c8db45a041db4c744e33df489df0,437.489
03c67f683a415c2ea09b582248bd4cb08528c19d,577.132
046e844fb06a07ba30b41521f0065a8d9c6e5024,433.64
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,458.995
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,436.779
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,512.291
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,450.182
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,538.523
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,505.862
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,445.209
59bfa081e020013410d9f60f91813964ba749bb2,435.695
f5e069ee3bc95998464e8ff5da048b7f999921ed,435.331
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,508.044
664f44258212a1f7e4086f2b4845d586c543fa3f,451.334
265cd7befa74a9f2a198fc57baec9858075f8419,442.356
6f9ac44919bbd204e0ef15185388fd2d4bc61253,487.447
78de1ee60b55766cc3eba4089e36c57139b66ebd,442.348
1e61a474acdc043eb39a89c17fab34bd2ea1a940,437.16
940af68ded6af2875708611051aa7ff3f134d80b,457.269
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,456.621
